Survey_strategy Optic Science_case M1_%pix M1_%priority
Option_5b F184 Bahramian 0.0 0.0
Option_6a F184 Bahramian 0.0 0.0
Option_6b F184 Bahramian 0.0 0.0
Option_7a F184 Bahramian 0.0 0.0
Option_7b F184 Bahramian 0.0 0.0
Option_8a F184 Bahramian 0.0 0.0
Option_8b F184 Bahramian 0.0 0.0
Option_1a F213 Bahramian 15.114265927977838 19.179929862422444
Option_1b F213 Bahramian 20.827562326869806 28.082007013757753
Option_2a F213 Bahramian 14.162049861495845 20.02967359050445
Option_2b F213 Bahramian 19.96191135734072 29.066630698678175
Option_3a F213 Bahramian 13.677285318559557 16.940922578904775
Option_3b F213 Bahramian 18.992382271468145 25.222551928783382
Option_4a F213 Bahramian 14.71606648199446 20.892905314270298
Option_4b F213 Bahramian 20.15235457063712 29.363366603722685
Option_5a F213 Bahramian 15.512465373961218 19.80037766387915
Option_5b F213 Bahramian 21.46814404432133 29.080118694362017
Option_6a F213 Bahramian 16.655124653739612 23.914216347450772
Option_6b F213 Bahramian 22.628116343490305 33.22093336930132
Option_7a F213 Bahramian 10.837950138504155 12.5168599946048
Option_7b F213 Bahramian 15.131578947368421 19.206905853790126
Option_8a F213 Bahramian 11.876731301939058 16.468842729970326
Option_8b F213 Bahramian 16.23961218836565 23.266792554626385
Option_1a F146 Bahramian 0.0 0.0
Option_1b F146 Bahramian 0.0 0.0
Option_2a F146 Bahramian 0.0 0.0
Option_2b F146 Bahramian 0.0 0.0
Option_3a F146 Bahramian 0.0 0.0
Option_3b F146 Bahramian 0.0 0.0
Option_4a F146 Bahramian 0.0 0.0
Option_4b F146 Bahramian 0.0 0.0
Option_5a F146 Bahramian 0.0 0.0
Option_5b F146 Bahramian 0.0 0.0
Option_6a F146 Bahramian 0.0 0.0
Option_6b F146 Bahramian 0.0 0.0
Option_7a F146 Bahramian 0.0 0.0
Option_7b F146 Bahramian 0.0 0.0
Option_8a F146 Bahramian 0.0 0.0
Option_8b F146 Bahramian 0.0 0.0
Option_1a F184 Rich2 0.0 0.0
Option_1b F184 Rich2 0.0 0.0
Option_2a F184 Rich2 0.0 0.0
Option_2b F184 Rich2 0.0 0.0
Option_3a F184 Rich2 100.0 100.0
Option_3b F184 Rich2 100.0 100.0
Option_4a F184 Rich2 100.0 100.0
Option_4b F184 Rich2 100.0 100.0
Option_5a F184 Rich2 0.0 0.0
Option_5b F184 Rich2 0.0 0.0
Option_6a F184 Rich2 0.0 0.0
Option_6b F184 Rich2 0.0 0.0
Option_7a F184 Rich2 0.0 0.0
Option_7b F184 Rich2 0.0 0.0
Option_8a F184 Rich2 0.0 0.0
Option_8b F184 Rich2 0.0 0.0
Option_1a F213 Rich2 100.0 100.0
Option_1b F213 Rich2 100.0 100.0
Option_2a F213 Rich2 100.0 100.0
Option_2b F213 Rich2 100.0 100.0
Option_3a F213 Rich2 100.0 100.0
Option_3b F213 Rich2 100.0 100.0
Option_4a F213 Rich2 100.0 100.0
Option_4b F213 Rich2 100.0 100.0
Option_5a F213 Rich2 100.0 100.0
Option_5b F213 Rich2 100.0 100.0
Option_6a F213 Rich2 100.0 100.0
Option_6b F213 Rich2 100.0 100.0
Option_7a F213 Rich2 100.0 100.0
Option_7b F213 Rich2 100.0 100.0
Option_8a F213 Rich2 100.0 100.0
Option_8b F213 Rich2 100.0 100.0
Option_1a G150 Rich2 0.0 0.0
Option_1b G150 Rich2 0.0 0.0
Option_2a G150 Rich2 0.0 0.0
Option_2b G150 Rich2 0.0 0.0
Option_3a G150 Rich2 0.0 0.0
Option_3b G150 Rich2 0.0 0.0
Option_4a G150 Rich2 0.0 0.0
Option_4b G150 Rich2 0.0 0.0
Option_5a G150 Rich2 0.0 0.0
Option_5b G150 Rich2 0.0 0.0
Option_6a G150 Rich2 0.0 0.0
Option_6b G150 Rich2 0.0 0.0
Option_7a G150 Rich2 0.0 0.0
