Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
time_domain F106 Carey2 SP30 6.744298884036875 6.744298884036875
wide_area F158 Carey2 SP30 100.0 100.0
deep_spec F158 Carey2 SP30 0.43668122270742354 0.43668122270742354
time_domain F158 Carey2 SP30 6.744298884036875 6.744298884036875
wide_area F213 Carey2 SP30 100.0 100.0
deep_spec F213 Carey2 SP30 0.43668122270742354 0.43668122270742354
time_domain F213 Carey2 SP30 6.744298884036875 6.744298884036875
wide_area F129 Minniti_GCs SP49 61.04694953552598 61.04694953552598
deep_spec F129 Minniti_GCs SP49 0.45192066281697213 0.45192066281697213
time_domain F129 Minniti_GCs SP49 2.6738639216670848 2.6738639216670848
wide_area F158 Minniti_GCs SP49 61.04694953552598 61.04694953552598
deep_spec F158 Minniti_GCs SP49 0.45192066281697213 0.45192066281697213
time_domain F158 Minniti_GCs SP49 2.6738639216670848 2.6738639216670848
wide_area F213 Minniti_GCs SP49 61.04694953552598 61.04694953552598
deep_spec F213 Minniti_GCs SP49 0.45192066281697213 0.45192066281697213
time_domain F213 Minniti_GCs SP49 2.6738639216670848 2.6738639216670848
wide_area F129 Saito SP51 61.04694953552598 61.04694953552598
deep_spec F129 Saito SP51 0.45192066281697213 0.45192066281697213
time_domain F129 Saito SP51 2.6738639216670848 2.6738639216670848
wide_area F158 Saito SP51 61.04694953552598 61.04694953552598
deep_spec F158 Saito SP51 0.45192066281697213 0.45192066281697213
time_domain F158 Saito SP51 2.6738639216670848 2.6738639216670848
wide_area F213 Saito SP51 61.04694953552598 61.04694953552598
deep_spec F213 Saito SP51 0.45192066281697213 0.45192066281697213
time_domain F213 Saito SP51 2.6738639216670848 2.6738639216670848
wide_area F129 Lim1 SP11 0.0 0.0
deep_spec F129 Lim1 SP11 0.0 0.0
time_domain F129 Lim1 SP11 0.0 0.0
wide_area F158 Lim1 SP11 0.0 0.0
deep_spec F158 Lim1 SP11 0.0 0.0
time_domain F158 Lim1 SP11 0.0 0.0
wide_area F213 Lim1 SP11 0.0 0.0
deep_spec F213 Lim1 SP11 0.0 0.0
time_domain F213 Lim1 SP11 0.0 0.0
wide_area G150 Lim1 SP11 0.0 0.0
deep_spec G150 Lim1 SP11 0.0 0.0
time_domain G150 Lim1 SP11 0.0 0.0
wide_area F062 Villasenor SP15 0.0 0.0
deep_spec F062 Villasenor SP15 1.1750706529822996 0.7669365146996165
time_domain F062 Villasenor SP15 2.2460211215231296 2.6075841499786963
wide_area F129 Villasenor SP15 21.850364420645548 17.239028547081382
deep_spec F129 Villasenor SP15 1.3833110218652387 0.8862377503195568
time_domain F129 Villasenor SP15 2.513758738658337 2.7609714529186196
wide_area F213 Villasenor SP15 21.850364420645548 17.239028547081382
deep_spec F213 Villasenor SP15 1.3833110218652387 0.8862377503195568
time_domain F213 Villasenor SP15 2.513758738658337 2.7609714529186196
wide_area F106 Gallart SP36 0.4365382516643021 0.4365382516643021
deep_spec F106 Gallart SP36 0.4620029830113863 0.4620029830113863
time_domain F106 Gallart SP36 1.4878678744224962 1.4878678744224962
wide_area F129 Gallart SP36 32.97682709447415 32.97682709447415
deep_spec F129 Gallart SP36 0.47655425806686313 0.47655425806686313
time_domain F129 Gallart SP36 1.4878678744224962 1.4878678744224962
wide_area F213 Gallart SP36 32.97682709447415 32.97682709447415
deep_spec F213 Gallart SP36 0.47655425806686313 0.47655425806686313
time_domain F213 Gallart SP36 1.4878678744224962 1.4878678744224962
wide_area F106 Zari WP09 0.24697777200051993 0.24697777200051993
deep_spec F106 Zari WP09 1.1243988041076303 1.1243988041076303
time_domain F106 Zari WP09 2.560769530742233 2.560769530742233
wide_area F158 Zari WP09 74.30131288184063 74.30131288184063
deep_spec F158 Zari WP09 1.1243988041076303 1.1243988041076303
time_domain F158 Zari WP09 2.560769530742233 2.560769530742233
wide_area F213 Zari WP09 74.30131288184063 74.30131288184063
deep_spec F213 Zari WP09 1.1243988041076303 1.1243988041076303
time_domain F213 Zari WP09 2.560769530742233 2.560769530742233
wide_area G150 Hillenbrand SP44 0.0 0.0
deep_spec G150 Hillenbrand SP44 11.304347826086957 11.304347826086957
time_domain G150 Hillenbrand SP44 0.0 0.0
wide_area F158 Ivanov SP39 54.41884280593958 65.69435881627619
deep_spec F158 Ivanov SP39 0.819252432155658 1.0712083847102343
time_domain F158 Ivanov SP39 1.4797747055811572 2.7127003699136867
wide_area F213 Ivanov SP39 54.41884280593958 65.69435881627619
deep_spec F213 Ivanov SP39 0.819252432155658 1.0712083847102343
time_domain F213 Ivanov SP39 1.4797747055811572 2.7127003699136867
wide_area F213 Werner SP06 50.3624204076729 50.3624204076729
deep_spec F213 Werner SP06 0.7048175884025469 0.7048175884025469
time_domain F213 Werner SP06 1.898201914220496 1.898201914220496
wide_area F129 Paladini WP08 63.00916374802091 65.10678937315507
deep_spec F129 Paladini WP08 0.8348126469318237 0.8682062858135093
time_domain F129 Paladini WP08 2.4420668809672312 2.6089598888695957
wide_area F158 Paladini WP08 63.00916374802091 65.10678937315507
deep_spec F158 Paladini WP08 0.8348126469318237 0.8682062858135093
time_domain F158 Paladini WP08 2.4420668809672312 2.6089598888695957
wide_area F184 Paladini WP08 48.092884901405746 51.549748220177115
deep_spec F184 Paladini WP08 0.7676438132706424 0.8074318458065636
time_domain F184 Paladini WP08 1.3865566377200977 1.358742837298142
wide_area F213 Paladini WP08 63.00916374802091 65.10678937315507
deep_spec F213 Paladini WP08 0.8348126469318237 0.8682062858135093
time_domain F213 Paladini WP08 2.4420668809672312 2.6089598888695957
wide_area F062 Bonito SP48 0.0 0.0
deep_spec F062 Bonito SP48 0.948905109489051 0.948905109489051
time_domain F062 Bonito SP48 4.890510948905109 4.890510948905109
wide_area F129 Bonito SP48 66.71532846715328 66.71532846715328
deep_spec F129 Bonito SP48 0.948905109489051 0.948905109489051
time_domain F129 Bonito SP48 4.890510948905109 4.890510948905109
wide_area F158 Bonito SP48 66.71532846715328 66.71532846715328
deep_spec F158 Bonito SP48 0.948905109489051 0.948905109489051
time_domain F158 Bonito SP48 4.890510948905109 4.890510948905109
wide_area F146 Bonito SP48 0.0 0.0
deep_spec F146 Bonito SP48 0.0 0.0
time_domain F146 Bonito SP48 0.0 0.0
wide_area F184 Craig2 SP41 70.58823529411765 70.58823529411765
deep_spec F184 Craig2 SP41 6.722689075630252 6.722689075630252
time_domain F184 Craig2 SP41 0.0 0.0
wide_area F213 Craig2 SP41 70.58823529411765 70.58823529411765
deep_spec F213 Craig2 SP41 6.722689075630252 6.722689075630252
time_domain F213 Craig2 SP41 0.0 0.0
wide_area F158 Kuhn SP42 7.184241019698725 7.184241019698725
deep_spec F158 Kuhn SP42 0.0 0.0
